REGION,MARKET,DEV_MANAGER,SITEID,SITE_NAME,FOPS_ASSIGNEE,SITE_CLASS,MAGENTABUILT_STATUS,OA_DATE,POWER_METER,BREAKER_SIZE,GEN_PLUG,ACCESS_DETAILS,SITE_SECURITY_ISSUES,PORTABLE_GENERATOR_CAPABLE,PORTABLE_GEN_PLUG,PORTABLE_GEN_CORD_LENGTH,PORTABLE_GEN_ACCESS_NOTES,FACILITY_COMBO,OTHER_COMBO,POWER_COMBO,TELCO_AAV_COMBO,TELCO_GATE_COMBO,SITE_24X7,POWER_24X7,TELCO_24X7,OTHER_24X7,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,SITE_NOTES,SITE_DIRECTIONS,FACILITY_ACCESS_NOTES,FACILITY_NOTIFICATION_REQUIRED,FACILITY_NOTIFICATION_PERIOD,POWER_ACCESS_NOTES,POWER_NOTIFICATION_REQUIRED,POWER_NOTIFICATION_PERIOD,TELCO_DEMARC_LOCATION,TELCO_AAV_NID_LOCATION,TMO_NID_LOCATION,TELCO_ACCESS_NOTES,TELCO_NOTIFICATION_REQUIRED,TELCO_NOTIFICATION_PERIOD,OTHER_ACCESS_NOTES,OTHER_NOTIFICATION_REQUIRED,OTHER_NOTIFICATION_PERIOD,EME_SIGNAGE_VISIT_REQUIRED,EME_AUDIT_LAST_PERFORMED
CENTRAL,CHICAGO,Theresa Favis,CH89328A,ATC 304125,Charles Hoepker (CHoepke),Self Support Tower,ON-AIR,2025-09-02,73 016 332,200.0,1.0,"Gate 2055 Cabinet 8550
CSH 1-14-26",,Yes,Cam Lock,15.0,No,2055,2055,2055,,2055,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"2441 Alft Ln
Elgin, IL 60124
Get on I-90 E from Alft Ln and N Randall Rd
3 min (0.8 mi)
Continue on I-90 E. Take I-355 S and I-57 S to US-136 W/Champaign Ave/US Hwy 136 W in Rantoul. Take exit 250 from I-57 S
2 hr 23 min (161 mi)
Merge onto I-90 E
Toll road
1.0 mi
Keep left to stay on I-90 E
Toll road
13.6 mi
Use the right 2 lanes to take the I-290 E/IL-53 S exit toward Chicago/W Suburbs
Toll road
1.3 mi
Continue onto Exit 1B (signs for IL-72/Higgins Rd)
0.4 mi
Merge onto I-290 E/IL-53 S
Continue to follow I-290 E
5.1 mi
Keep left to continue on I-355 S, follow signs for Joliet
Toll road
29.2 mi
Keep left to stay on I-355 S
Toll road
3.4 mi
Use the left 2 lanes to merge onto I-80 E toward Indiana
11.9 mi
Take exit 151A to merge onto I-57 S toward Memphis
94.6 mi
Take exit 250 to merge onto US-136 W/Champaign Ave/US Hwy 136 W
0.5 mi
Take County Rd 1400 E and US-45 S to your destination
9 min (6.7 mi)
Merge onto US-136 W/Champaign Ave/US Hwy 136 W
0.2 mi
Turn left onto County Rd 1400 E/Evans Rd/Township Hwy 174 E
Continue to follow County Rd 1400 E
2.9 mi
Turn left onto County Rd 2700 N/Township Hwy 155 S
0.9 mi
Turn right at the 1st cross street onto US-45 S
2.1 mi
Turn left onto County Rd 2500 N/Flatville Rd
0.5 mi
Turn right
0.2 mi
40.2364560, -88.1747450
",,,,,,,By BTS,By BTS,,,,,,,,No,2025-12-04 07:53:03
CENTRAL,DETROIT MI,TEK: Westley Webber / Smartlink: Leticia Zayas,DE04608A,ATC 415068,Matt Keltner (MKeltne),Monopole,ON-AIR,2025-09-02,10323893,200.0,1.0,Main gate ATC2055. TMO cabinets 5463.,,Yes,Cam Lock,50.0,No,2055,,,,,Yes,Yes,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,Address is correct on GPS. Site is located on Metcalf rd. Take M-19 north off I-69 turn right on Metcalf rd. Follow Metcalf until the split and take a left onto Metcalf rd as if you stay straight it becomes Beard Rd. Site will be on the south side of Metcalf rd at the address provided. TMO is located to the right of the shelter.,,,,,,,,,,,,,,,,No,
CENTRAL,DETROIT MI,,DE0300BA,SC_HUB_BS01008C,Chris Altman (NAltman),Self Support Tower,ON-AIR,2025-09-02,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,ORLANDO,Noelle Moeller,A2C2355A,ATC 88450,Jess Belza (JBelza4),Self Support Tower,ON-AIR,2025-09-02,KCD5521,200.0,1.0,"24/7 Self support tower, No perm generator on site",,Yes,Cam Lock,100.0,Yes,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"However you do it, take I-95 south to exit 180. HWY 192. Turn right and just past the first stop light will be Simon Road on your left. They is a left turn lane",,,,,,,,,,,,,,,,No,
SOUTH,BIRMINGHAM,Kristi Anderson,9BH7498A,9BH7498A,Bobby Hayes (BHayes3),Guyed Tower,ON-AIR,2025-09-02,165743847,200.0,1.0,"2321 OR 1776 are the combo’s we use at the gates.
GC’s, etc. just need to call the NOC (800.821.5825) as they enter/exit the compound of our sites.

Power company- Arab electric
Account #
Meter #
DPP#
open meter slot. and ATT fiber is onsite.",,Yes,Cam Lock,50.0,No,2321,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Head toward Inverness Center Pkwy. Go for 213 ft.
Then 0.04 miles
Turn left onto Inverness Center Pkwy. Go for 0.3 mi.
Then 0.3 miles
Turn left onto Highway 280 (US-280 W). Go for 6.5 mi.
Then 6.5 miles
Take ramp onto US-31 N/US-280 W (Elton B Stephens Expy). Go for 2.8 mi.
Then 2.8 miles
Take the exit onto I-20 W/I-59 S. Go for 1.8 mi.
Then 1.8 miles",,,,,,,,,,,,,,,,No,
NORTHEAST,CENTRAL PA,Chris Albright,2SC9506A,ATC 419844 - St Clair PA,Kyle Ulrich (KUlrich),Monopole,ON-AIR,2025-09-02,,200.0,,"Access Notes Updated 08/21/2025 by Lealey1

This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. ATC site reference number is 419844. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP. Road gate lock combo: 2370  Compound gate lock combo: 2370. Cabinet door lock combo: 0095",,Yes,Cam Lock,50.0,No,0095/2370,,2370,,2370,Yes,Yes,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Access Notes Updated 08/21/2025 by Lealey1 
gate:   40.711465, -76.192133
I-81 to exit #124A  to 61 S. Head southeast on PA-61 S for 4.8 mi
Turn right onto Ann St/E Mines Rd for 0.2 mi   Turn right onto Oak St follow to gate. follow dirt road to site on left
",,,,,,,emerson,,,,,,,,,No,
WEST,SAN FRANCISCO,Vanessa Meyer Crooks,SF95721A,Crown: Brookdale (831550),Percival Celso Kong (PKong2),Self Support Tower,ON-AIR,2025-09-02,1011761912,200.0,1.0,"There is a wrought iron gate that is unlocked leading down to the site. Please be sure to close the gate behind you. ***Until further notice, please let Micah know in advance for all site visits. Micah.Sullivan@crowncastle.com***  this is a private residence and LL requires 48 hrs. notice Candi.conger@crowncastle.com for coordination with LL",,Yes,Cam Lock,125.0,Yes,,,,,,No,No,No,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,,"Coming from TMO office on Concord Ave: Head north toward Concord Ave. Continue onto New Drive, and turn left onto Concord Ave. Turn right onto Contra Costa Blvd. Turn right to merge onto I-680S. Keep left to stay onto I-680S, towards San Jose/Dublin. Tale exit 12 to merge onto CA-262 S/Mission Blvd. Use left lanes to merge oto I-880S toward San Jose. In 3.8 miles, stay right onto I-880S. Continue onto CA-17S. In 9.8 miles, take Bear Creek Road exit. Turn left onto Bear Creek Road, and then left onto CA-9S in 12.9 miles. Turn left onto Irwin Way, and continue onto Fairmount Drive. In .6 miles, continue onto Nina Drive, then turn left onto Elsie Mae Drive. Take the first right onto Rebecca Drive. Site will be on your left in approximately .5 miles.",,,,,,,,,,,,,,,,No,
CENTRAL,MILWAUKEE,Andrew Mah,ML89215A,Harmoni Towers WI0005880,Jacob Ford (JFord66),Monopole,ON-AIR,2025-09-02,5479629,200.0,,"Access Time Frame: 24/7
Gate Code: 4601
T-Mobile Equipment: 0007
Key Requirements: N/A
Emergency Contact: 800-821-5825
Additional Notes: None
BTS Access: Straight in from gate

Radio Access: All Tower Top

PPC Access: straight in from gate

Generator Plug Access: on platform

APU Generator: None

Power Meter Access: In front of gate to the left.

TelCo Demarc Access: Next to BTS

Revised By: Jacob Ford, 11/25/2025",,Yes,Cam Lock,50.0,No,4601,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Rhinelander WI area:
Follow WI-17 S, County Rd H and County Rd HH to US-45 S in Aniwa, Continue on US-45 S. Take WI-29 E/WI-29 Trunk E and I-43 S to WI-96 E/Shirley Rd in New Denmark. Take exit 171 from I-43 S, Take County Rd KB and Co Rd KB to Drumm Rd, site is behind a white/grey metal shed.

From Appleton area:
Take W Washington St to N Drew St, Take E College Ave, County Rd Z, WI-32 N, WI-96, ... and W County Rd BB to Bolt Rd in Franklin, Continue on Bolt Rd. Drive to Drumm Rd, site is behind a white/grey metal shed.",,,,,,,,,,,,,,,,No,
CENTRAL,CINCINNATI,TEK: Nicole MacDonald / Smartlink: Leticia Zayas,CI16018A,Underserved,Ben Richardson (BRichar34),Self Support Tower,ON-AIR,2025-09-02,400512066,200.0,,"This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. ATC site reference number is 273789. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP. Road gate lock combo: . Compound gate lock combo: . Cabinet door lock combo: .",,Yes,Delta Quick Connect,40.0,No,Gate: 2055 Cabinet Info Pending FST,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
SOUTH,AUSTIN TX,Quin Freeman,TK02002A,TI-OPP-00907,Keith Watson (KWatson1),Self Support Tower,ON-AIR,2025-09-02,871936084,200.0,1.0,Access code to gate is 1776 -- 2002,,Yes,Cam Lock,25.0,No,1776 -- 2002,1776 -- 2002,1776 -- 2002,1776 -- 2002,1776 -- 2002,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"
Follow Dallas North Tollway S, I-35E and I-35 S to N General Bruce Dr/I 35 N Frontage Rd in Temple. Take exit 304 from I-35 S
2 hr 7 min (146 mi)
Take TX-53 E and FM485 S to US-190 E in Milano",,,,,,,,,,,,,,,,No,
CENTRAL,DENVER CO,Jeff Kurpiel,DN04705A,DN04705A (ATC 416195),Brandon Mayo (BMayo3),Guyed Tower,ON-AIR,2025-09-02,84513776,200.0,1.0,"This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. ATC site reference number is 416195. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP.",,Yes,Appelton_AR40144RS,25.0,No,6937,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
CENTRAL,DENVER CO,Bryce Northcutt,DN04928A,DN04928A - 1234 Main St,Brandon Mayo (BMayo3),Monopole,ON-AIR,2025-09-02,179302098,200.0,,24x7 access per MLA.,,,,,,7011,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,43.45442-103.36278,,,,,,,,,,,,,,,,No,
SOUTH,HOUSTON TX,,HN2372BA,HN2372BA,Travis Banks (TBanks13),Outdoor BTS,ON-AIR,2025-09-02,Small Cell - Not Applicable,50.0,1.0,"Small cell - co located with A3C0009A
 Crown Castle Compound Combo: 7011 | T-Mobile Equipment: **Magenta Puck Locks will require FOPS tech to unlock them. Reach out to FOPS a head of time to request a visit to have them unlocked**",,Yes,Cam Lock,30.0,No,7011 | 9009,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,Small Cell site drive to information is site specific,,,,,,,,,,,,,,,,No,
SOUTH,BIRMINGHAM,Kristi Anderson,9BH7042A,9BH7042A,Samuel Bell (SBell37),Self Support Tower,ON-AIR,2025-09-02,2390323,200.0,1.0,"Tilman towers- combo 2321

power company- SOCO
Meter #
account#
DPP#04752597
existing meter bank with open meter slot. install and label T-Mobile",,Yes,Cam Lock,20.0,No,2321,,,,2321,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"10 Inverness Center Pkwy, Birmingham, AL 35242 Get on I-459 S in Birmingham from US-280 W 1. Head northeast 2. Turn right 3. Turn left onto Inverness Center Pkwy 4. Use any lane to turn left onto US-280 W 5. Use the left 2 lanes to turn left to merge onto I459 S toward Montgomery/Tuscaloosa Follow I-459 S and I-20 W/I-59 S to AL-69 S in Tuscaloosa 6. Merge onto I-459 S 7. Use the left 2 lanes to merge onto I-20 W/I-59 S toward Tuscaloosa 8. Take exit 71A to merge onto AL-69 S/I-359 S toward Moundville Follow AL-69 S, AL-60 W and AL-14 E to Pintail Rd in Sawyerville 9. Continue straight onto AL-69 S 10. Keep right to continue toward AL-60 W 11. Continue onto AL-60 W 12. Continue straight to stay on AL-60 W 13. Merge onto AL-14 E 8 min (2.9 mi) 200 ft 0.2 mi 0.2 mi 2.1 mi 0.4 mi 47 min (55.1 mi) 19.3 mi 35.3 mi 0.6 mi 43 min (38.0 mi) 18.9 mi 0.1 mi 11.1 mi 0.2 mi, 13. Merge onto AL-14 E 7.6 mi, 14. Turn right on to Pintal Road. Destination will be on the left approx 98Ft. 
",,,,,,,,,,,,,,,,No,
CENTRAL,ARKANSAS,TMO:  Andrea McCoy / Smartlink:  Shawn Sutton,AR01643A,Dardanelle Crown 873956,Shane Williamson (SWillia),Guyed Tower,ON-AIR,2025-09-02,AM14510816,200.0,,7011,,Yes,Cam Lock,50.0,Yes,ATC 2066 or TMO 6969,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Kansas City, MO switch: Head south on Cherry St toward E 27th St. Turn left onto E 27th St, then take the ramp onto I-70 W. Merge onto I-70 W and continue for approximately 10 miles. Take exit 2B for I-435 S toward St. Louis. Merge onto I-435 S and continue for about 15 miles. Take exit 64B to merge onto I-49 S toward Joplin. Continue on I-49 S for approximately 140 miles, passing through cities such as Harrisonville, Nevada, and Lamar. Take exit 86A to merge onto US-71 S toward Arkansas. Continue on US-71 S for about 50 miles, passing through cities like Bella Vista and Gravette. Take the exit onto I-540 S toward Fort Smith. Continue on I-540 S for approximately 60 miles, passing through cities such as Fayetteville and Van Buren. Take exit 72B for US-64 W toward Ozark. Merge onto US-64 W and continue for about 30 miles, passing through cities like Ozark and Clarksville. Turn left onto AR-7 S and continue for approximately 15 miles. Turn right onto Pullen Pond Road. Continue on Pullen Pond Road for about 2 miles. Your destination, 10253 Pullen Pond Road, will be on the left.",,,,,,,,,,,,,,,,No,
CENTRAL,DETROIT MI,,BS02750A,ATC 50582 - CHURCHILL,Chris Altman (NAltman),Guyed Tower,ON-AIR,2025-09-02,30806313,200.0,1.0,"24x7, 2055/5463- look for the red gate at the site drive entrance that is on the West side of the farm field. Altman 11/04/25",,Yes,Cam Lock,50.0,No,"2055, 5463","2055, 5463","2055, 5463","2055, 5463","2055, 5463",Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"START: 17100 N Laurel Park Dr Livonia, MI 48152
Get on I-275 N/I-96 W from Six Mile Rd
2 min (0.6 mi)
Take US-23 N and I-75 N to your destination in Alger. Take exit 202 from I-75 N
1 hr 56 min (141 mi)
Continue on M-33 N. Drive to M-55 E in Churchill Township
13 min (12.4 mi)
ARRIVE: 1255 E Tawas Rd #55 West Branch, MI 48661",,,,,,,,,,,,,,,,No,
CENTRAL,DES MOINES IA,,DM03614A,NEIT - Burr Oak,Rhett Kieler (RKieler1),Monopole,ON-AIR,2025-09-02,66810,200.0,1.0,"Steve Hanson
-----------------------------------------
Chief Operating Officer
Office: 563-539-2122
Mobile: 563-537-1007
shanson@neitel.com

24 x7 Access:  Yes, Contact Steve Hanson prior to entering compound.
Site Access Details:  Gate Combo:         Cabinet Combo:  
Site Safety and Security Issues:   No WWS Requirements
",,Yes,Cam Lock,30.0,No,See Access Details,,See Site Access Details,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Starting at MN switch:
Head south toward Apollo Rd; Turn right onto Apollo Rd; Turn right onto Lunar Ln; Turn right onto Lone Oak Rd; Turn right onto Hwy 55 E/Dodd Rd; Merge onto US-52 S; Turn right to stay on US-52 S; Turn left in 6.6 miles; Turn right in 0.2 miles; Destination is in 157 feet.",,1.0,"Yes, Contact Steve Hanson prior to entering compou",,,,,,,,,,,,,No,
NORTHEAST,NORTH CAROLINA,Tonya Sykes-McClure,5BU0045A,Crown 842180,Bill Burwell (WBurwel),Monopole,ON-AIR,2025-09-02,080908896,200.0,,Crown Castle BU# 842180,,Yes,Cam Lock,50.0,No,7011/8727,,,,,No,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"2351 John Lewis Rd. I -40 east bound take exit 150, take a left. go 7.3 miles or so turn right on John Lewis, site is on the right",,,,,,,,,,,,,,,,No,
NORTHEAST,NORTH CAROLINA,Byron Scyzgial,5FA1090A,ATC 280774,Roger Hilburn (DHilbur),Self Support Tower,ON-AIR,2025-09-02,362 863 846,200.0,,"This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP.",,Yes,Cam Lock,50.0,No,This is an ATC site.  Please call the (NOC) at 877-518-6937. They will provide access codes/combos.,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Fayetteville, NC take NC-87 S and turn right onto Fierry Rd/Tar Heel Rd. Site is on right about 6 miles. You must turn Right on Kinlaw St and site access is after 1011 Kinlaw St.",,,,,,,,,,,,,,,,No,
CENTRAL,KANSAS CITY KS,TEK: Westley Webber / Smartlink: Leticia Zayas,A5L0077C,TBD,Arnold Anderson (AAnders21),Self Support Tower,ON-AIR,2025-09-02,12200058,200.0,,Gate Code 2055 Access Info  4227,,Yes,Cam Lock,20.0,No,2055 / 4227,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From KC Switch take I-70 W to Junction City, KS, in Junction City take US 77 S, in Herington, exit at Helen St, go R or W on Helen, then turn L or S on Commercial Dr, Commercial Dr will turn into E. Arnold St which will veer W, continue on E. Arnold to N F St, turn R or N on N F St, tower will be on your L in three blocks at intersection of N F St and E Park St.",,,,,,,,,,,,,,,,No,
SOUTH,AUSTIN TX,Quin Freeman - E2E,SA02171C,SA02171C,Tomas Carrisal (TCarris1),Guyed Tower,ON-AIR,2025-09-02,2038764,200.0,1.0,Open Door/gate,,Yes,Cam Lock,50.0,Yes,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,Use Site Address/Lat Long,,,,,,,,,,,,,,,,No,
CENTRAL,WICHITA KS,Anthony Berrien,WI01701A,ATC_419810,Zayne Brown (ZBrown16),Self Support Tower,ON-AIR,2025-09-02,SP063781D,200.0,,Gate Code 2370  Access Info,,Yes,Cam Lock,25.0,No,2370,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From Kansas City switch: Head to I-70 W towards Topeka. ontinue west on the interstate, following signs for the central part of Kansas. Take the exit for the highway leading south toward the area around Wichita.
Stay on the highway south, following signs for Haviland. As you approach Haviland, follow local roads to reach your destination near the coordinates.",,,,,,,,,,,,,,,,No,
WEST,SACRAMENTO,Bruce Piland,SC60251A,Del Ray Monopine,Terry Sills (TSills1),Monopine,ON-AIR,2025-09-02,1011700668,200.0,1.0,Horizon tower gate combo 1900 or 0251,,Yes,Cam Lock,25.0,No,,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
SOUTH,DALLAS TX,,DA05846B,DA05846,Jayson Martelle (JMartelle),Utility Pole,ON-AIR,2025-09-02,738486,200.0,,50ft pole in ROW - access unrestricted,,No,,0.0,,,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"7668 Warren Pkwy
Frisco, TX 75034

Take Parkwood Blvd to State Hwy 121 N
4 min (1.3 mi)

Head west toward McCandless Way

384 ft

Turn left onto McCandless Way

105 ft

Turn left at the 1st cross street onto Warren Pkwy

0.1 mi

Turn right onto Parkwood Blvd

1.1 mi

Take Sam Rayburn Tollway to Alma Rd in Allen
8 min (6.8 mi)

Use the left lane to turn left onto State Hwy 121 N

0.2 mi

Use the left lane to take the TX-121 N ramp
 Toll road

0.4 mi

Merge onto Sam Rayburn Tollway
 Toll road

4.8 mi

Take the exit toward Exchange Pkwy/Craig Ranch Pkwy/Alma Dr
 Toll road

0.2 mi

Merge onto State Hwy 121 N

1.3 mi

Turn left onto Alma Rd
 Destination will be on the right

6 min (3.0 mi)
McKinney
Texas",,,,,,,,,,,,,,,,No,
SOUTH,MOBILE,,MO1151BA,MO1123BA,Steven Soublet (SSouble),Monopole,ON-AIR,2025-09-02,,,,,,Yes,Cam Lock,50.0,,,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,Yes,2025-07-31 12:56:19
CENTRAL,NASHVILLE,PBM,9NV4618A,VB US-T-5190,Michael Clark (MClark153),Self Support Tower,ON-AIR,2025-08-30,151346,200.0,,Gate Combo 0951 T-Mobile Combo 4570,,Yes,Cam Lock,50.0,No,Combo 0951,,Gate Combo 0951 T-Mobile Combo 4570,,Gate Combo 0951 T-Mobile Combo 4570,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"FROM NASHVILLE INTERNATIONAL AIRPORT, 1 TERMINAL DR, NASHVILLE, TN
37214: HEAD EAST ON 1-40 E, TAKE EXIT 288 TOWARD TN-111 N, TURN
LEFT ONTO TN-111 N (SIGNS FOR ALGOOD/LIVINGSTON), PASS BY PIZZA
HUT (ON THE RIGHT IN 19.8 MI), TURN LEFT ONTO BRADFORD HICKS DR,
TURN LEFT ONTO TN-111 N/TN-294 N, TURN RIGHT ONTO LINDER MOUNTAIN
RD. TURN LEFT ONTO ALPINE FIRETOWER RD,

DRIVING DISTANCE: 101 MILES, DRIVING TIME: 1 HOUR 40 MINUTES",,,,,,,,,,,,,,,,No,
SOUTH,MOBILE,Kristi Anderson,9EA731RA,Greenwood-Tillman,David Herport (DHerpor1),Self Support Tower,ON-AIR,2025-08-30,200009405,200.0,1.0,"gate code 2321
Power Account Requested TPE-4748875    Power Company is Clark Washington EMC, PH Number 800-323-9081
Acc# 625000963
Meter# 20009405
PPD - TPE-04748875",,Yes,Cam Lock,50.0,No,2321,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on I-65 N from Montlimar Dr and Airport Blvd
4 min (1.3 mi)
Head east toward Montlimar Dr
292 ft
Turn left onto Montlimar Dr
0.6 mi
Turn right onto Airport Blvd
0.5 mi
Use the right lane to merge onto I-65 N via the ramp to Montgomery
0.2 mi
Drive to US-43 N in Fulton
1 hr 26 min (88.2 mi)
Merge onto I-65 N
15.6 mi
Use the right lane to take exit 19 for US-43 N toward Creola
0.7 mi
Use the right lane to take the ramp onto US-43 N
71.9 mi
Arrive at 23888 US-43, Grove Hill, AL 36451
North of Grove Hill approx 1/4 of a mile before you reach HWY 178 the tower is on the right. Turn right at the mailbox and drive past the metal building.",,,,,,,,,,,,,,,,No,
